project name,compile status,compile time,spotbugs execute status,spotbugs execute time
community,SUCCESS,4.994 s,SUCCESS,5.094 s
Angular2AndJavaEE,SUCCESS,01:19 min,SUCCESS,5.397 s
biojava,SUCCESS,12.960 s,SUCCESS,41.907 s
nacos-spring-boot-project,SUCCESS,16.712 s,SUCCESS,15.027 s
spring-boot-java-swing-reservations,SUCCESS,13.391 s,SUCCESS,5.319 s
quickfixj,SUCCESS,02:55 min,SUCCESS,01:57 min
spring-comparing-template-engines,SUCCESS,9.408 s,SUCCESS,4.171 s
tij4-maven,SUCCESS,0.230 s,SUCCESS,1.032 s
fabric8-maven-plugin,SUCCESS,25.737 s,SUCCESS,43.376 s
spring-cloud-release,SUCCESS,18.715 s,SUCCESS,1.551 s
java-uuid-generator,FAILURE,0.709 s,-,-
cloud-opensource-java,SUCCESS,06:18 min,SUCCESS,11.436 s
flyer-maker,SUCCESS,1.755 s,SUCCESS,3.426 s
gchisto,SUCCESS,2.459 s,SUCCESS,5.565 s
travels-java-api,SUCCESS,5.452 s,SUCCESS,4.422 s
spring-zeebe,SUCCESS,02:37 min,SUCCESS,10.511 s
visualee,SUCCESS,3.907 s,SUCCESS,4.015 s
javaee7-essentials-archetype,SUCCESS,1.405 s,SUCCESS,1.191 s
webcam-capture,SUCCESS,7.587 s,SUCCESS,32.069 s
cloud-espm-v2,SUCCESS,3.949 s,SUCCESS,5.936 s
reactive-ms-example,SUCCESS,4.015 s,SUCCESS,3.542 s
pandomium,FAILURE,48.636 s,-,-
kafka-streams-machine-learning-examples,SUCCESS,19.997 s,SUCCESS,9.366 s
client-maven-plugin,FAILURE,06:44 min,-,-
code-assert,SUCCESS,9.770 s,SUCCESS,10.955 s
opencc4j,SUCCESS,2.405 s,SUCCESS,3.248 s
projectforge,FAILURE,01:56 min,-,-
hprose-java,SUCCESS,5.029 s,SUCCESS,5.976 s
SpringBootUnity,SUCCESS,21.775 s,SUCCESS,31.368 s
triava,SUCCESS,2.043 s,SUCCESS,4.530 s
jol,SUCCESS,5.144 s,SUCCESS,10.471 s
javaee8-essentials-archetype,SUCCESS,1.019 s,SUCCESS,1.193 s
cargotracker,SUCCESS,05:09 min,SUCCESS,4.575 s
hope-cloud,SUCCESS,5.871 s,SUCCESS,8.462 s
java-speech-api,SUCCESS,1.602 s,SUCCESS,3.878 s
pdt,FAILURE,01:18 min,-,-
jmh,SUCCESS,15.668 s,SUCCESS,30.089 s
javaee-javascript,SUCCESS,1.555 s,SUCCESS,3.262 s
paho.mqtt.java,SUCCESS,11.115 s,SUCCESS,13.170 s
bitfinex-v2-wss-api-java,SUCCESS,2.260 s,SUCCESS,4.441 s
aem-component-generator,SUCCESS,7.424 s,SUCCESS,4.008 s
superword,SUCCESS,19.626 s,SUCCESS,5.870 s
reddit-bot,SUCCESS,2.700 s,SUCCESS,3.888 s
asmsupport,SUCCESS,4.971 s,SUCCESS,16.685 s
Benchmark,SUCCESS,11.163 s,SUCCESS,21.936 s
wro4j,SUCCESS,29.811 s,SUCCESS,11.983 s
spring-mvc-angular-js-hibernate-bootstrap-java-single-page-jwt-auth-rest-api-webapp-framework,SUCCESS,3.657 s,SUCCESS,4.298 s
spring-context-support,SUCCESS,1.680 s,SUCCESS,3.872 s
iot-dc3,SUCCESS,21.362 s,SUCCESS,46.062 s
nacos-spring-project,SUCCESS,6.808 s,SUCCESS,8.402 s
spring-boot-graalvm,SUCCESS,1.773 s,SUCCESS,3.287 s
cms-admin-end,SUCCESS,3.270 s,SUCCESS,5.564 s
spring4.x-project,SUCCESS,1.511 s,SUCCESS,22.146 s
