Patterns,Category,Can we detect this using only code change (partial analysis is sufficient),Feasibility using Regex,# Note,inter-class,import,signature,field,body,signature,local variable,field,body,statement,type,annotation,java version,data flow/control flow/call graph/inheritance graph/no,name(class/method/field/variable),expression text(operator/keyword),constant,
JUA:  Asserting value of instanceof in tests is not recommended.  (JUA_DONT_ASSERT_INSTANCEOF_IN_TESTS),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,,,,Y,,,Y,,,,,,
CNT: Rough value of known constant found (CNT_ROUGH_CONSTANT_VALUE),Bad practice (BAD_PRACTICE),Yes,Yes and implemented,,,,,,,,,,,Y,Y,,,,,,Y,
NP: Method with Boolean return type returns explicit null (NP_BOOLEAN_RETURN_NULL),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,Y,,,Y,,,,,,,,,
SW: Certain swing methods needs to be invoked in Swing thread (SW_SWING_METHODS_INVOKED_IN_SWING_THREAD),Bad practice (BAD_PRACTICE),No,No for regex limitation,,,,,,,Y,,,Y,,,,,call graph,,,,
FI: Finalizer only nulls fields (FI_FINALIZER_ONLY_NULLS_FIELDS),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,Y,,Y,Y,,,,,data flow,,,,
FI: Finalizer nulls fields (FI_FINALIZER_NULLS_FIELDS),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,Y,,Y,Y,,,,,data flow,,,,
UI: Usage of GetResource may be unsafe if class is extended (UI_INHERITANCE_UNSAFE_GETRESOURCE),Bad practice (BAD_PRACTICE),No,Yes and implemented,,,,,,,,,,Y,,,,,,,,,
AM: Creates an empty zip file entry (AM_CREATES_EMPTY_ZIP_FILE_ENTRY),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,,,,Y,,Y,,,,,,,
AM: Creates an empty jar file entry (AM_CREATES_EMPTY_JAR_FILE_ENTRY),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,,,,Y,,Y,,,,,,,
IMSE: Dubious catching of IllegalMonitorStateException (IMSE_DONT_CATCH_IMSE),Bad practice (BAD_PRACTICE),Yes,Yes and implemented,,,,,,,,,,,Y,Y,,,control flow,Y,Y,,
CN: Class defines clone() but doesn’t implement Cloneable (CN_IMPLEMENTS_CLONE_BUT_NOT_CLONEABLE),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,Y,,,,,,,,inheritance graph,,,,
CN: Class implements Cloneable but does not define or use clone method (CN_IDIOM),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,Y,,,,,,,,,inheritance graph,,,,
CN: clone method does not call super.clone() (CN_IDIOM_NO_SUPER_CALL),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,Y,,,Y,,,,,"inheritance graph, call graph",,,,
DE: Method might drop exception (DE_MIGHT_DROP),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,,,,Y,,,,,control flow,,,,
DE: Method might ignore exception (DE_MIGHT_IGNORE),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,,,,Y,,,,,control flow,,,,
Dm: Method invokes System.exit(…) (DM_EXIT),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,,,Y,,,Y,,,,,,,,,
Nm: Use of identifier that is a keyword in later versions of Java (NM_FUTURE_KEYWORD_USED_AS_IDENTIFIER),Bad practice (BAD_PRACTICE),Yes,Yes and implemented,,,,,,,,Y,,,,,,,,,,,
Nm: Use of identifier that is a keyword in later versions of Java (NM_FUTURE_KEYWORD_USED_AS_MEMBER_IDENTIFIER),Bad practice (BAD_PRACTICE),Yes,Yes and implemented,,,,,Y,,,,,,,,,,,,,,
JCIP: Fields of immutable classes should be final (JCIP_FIELD_ISNT_FINAL_IN_IMMUTABLE_CLASS),Bad practice (BAD_PRACTICE),No,No for multi-line,,,,,Y,,,,,,,,Y,,,,,,
