Pattern,STP,CTP,SFN,CFN,OL,S_A,C_A,S_R,C_R,S_F1,C_F1
DMI_RANDOM_USED_ONLY_ONCE,176,215,39,0,176,81.86,100.0,81.86,100.0,90.03,100.0
SA_SELF_COMPARISON,0,1,1,0,0,0.0,100.0,0.0,100.0,-,100.0
BIT_SIGNED_CHECK,6,0,0,6,0,100.0,0.0,100.0,0.0,100.0,-
EQ_COMPARING_CLASS_NAMES,0,1,1,0,0,0.0,100.0,0.0,100.0,-,100.0
SA_SELF_COMPUTATION,0,1,1,0,0,0.0,100.0,0.0,100.0,-,100.0
NM_CLASS_NAMING_CONVENTION,6,5,0,1,5,100.0,83.33,100.0,83.33,100.0,90.91
UI_INHERITANCE_UNSAFE_GETRESOURCE,8,9,1,0,8,88.89,100.0,88.89,100.0,94.12,100.0
DM_STRING_CTOR,5,1,0,4,1,100.0,20.0,100.0,20.0,100.0,33.33
ES_COMPARING_STRINGS_WITH_EQ,16,5,0,11,5,100.0,31.25,100.0,31.25,100.0,47.62
VA_FORMAT_STRING_USES_NEWLINE,60,66,6,0,60,90.91,100.0,90.91,100.0,95.24,100.0
Others,34,34,0,0,34,100.0,100.0,100.0,100.0,100.0,100.0
Overall,311,338,49,22,289,86.39,93.89,86.39,93.89,92.7,96.85
