Project,SLOC,SpotBugs,,,"CodeGex,SpeedUp",,
,,IC,SC,A,A,S1,S2,S3
community, 3.72, 294.00, 7.48, 5.12, 0.51, 586.51, 24.71, 10.04
Angular2AndJavaEE, 1.42, 336.00, 84.00, 3.81, 0.18, 1887.83, 487.83, 21.17
biojava, 117.78, 373.00, 16.02, 41.55, 16.79, 24.69, 3.43, 2.47
nacos-spring, 1.80, 882.00, 13.56, 6.70, 0.01, 88870.00, 2026.00, 670.00
spring-boot, 0.48, 101.00, 3.72, 3.67, 0.05, 2093.40, 147.80, 73.40
spring-boot-java, 5.30, 220.00, 9.70, 5.03, 0.77, 292.25, 19.13, 6.53
quickfixj, 1279.49, 404.00, 184.00, 180.00, 2.43, 240.33, 149.79, 74.07
spring-comparing, 0.91, 267.00, 7.76, 4.37, 0.12, 2261.42, 101.08, 36.42
tij4-maven, 17.89, 9.85, 0.22, 1.08, <0.01, 1093.00, 130.00, 108.00
fabric8-maven-plugin, 48.01, 2972.00, 20.15, 43.90, 3.22, 936.61, 19.89, 13.63
java-microservice, 2.59, 1136.00, 8.80, 6.81, 0.02, 57140.50, 780.50, 340.50
spring-cloud-release, 0.49, 368.00, 14.85, 1.58, <0.01, 36958.00, 1643.00, 158.00
java-uuid-generator, 3.07, 60.00, 0.79, 3.96, 0.22, 290.73, 21.59, 18.00
cloud-opensource, 10.51, 1239.00, 282.00, 5.33, 0.59, 2109.03, 487.00, 9.03
flyer-maker, 0.76, 19.20, 1.87, 3.54, 0.12, 189.50, 45.08, 29.50
gchisto, 6.57, 22.53, 2.76, 5.55, 1.05, 26.74, 7.91, 5.29
travels-java-api, 2.95, 434.00, 6.26, 4.73, 0.29, 1512.86, 37.90, 16.31
spring-zeebe, 1.58, 960.00, 10.16, 10.85, 0.19, 5109.74, 110.58, 57.11
visualee, 3.76, 76.00, 3.08, 4.13, 0.26, 308.19, 27.73, 15.88
javaee7-essentials, 0.01, 17.96, 1.79, 1.11, <0.01, 1907.00, 290.00, 111.00
webcam-capture, 16.02, 744.00, 6.14, 33.46, 1.60, 485.91, 24.75, 20.91
cloud-espm-v2, 4.67, 36.71, 3.96, 6.24, 0.39, 110.13, 26.15, 16.00
reactive-ms-example, 1.49, 425.00, 3.08, 3.88, 0.08, 5361.00, 87.00, 48.50
pandomium, 6.08, 91.00, 1.57, 3.85, 0.11, 862.27, 49.27, 35.00
osgi.enroute, 0.99, 2124.00, 161.00, 16.68, 0.14, 15290.57, 1269.14, 119.14
client-maven-plugin, 0.82, 384.00, 4.06, 4.37, 0.13, 2987.46, 64.85, 33.62
code-assert, 7.61, 416.00, 11.67, 11.60, 0.93, 459.78, 25.02, 12.47
opencc4j, 0.87, 31.63, 2.52, 3.52, 0.09, 390.56, 67.11, 39.11
hprose-java, 15.85, 16.14, 4.90, 6.07, 2.39, 9.29, 4.59, 2.54
SpringBootUnity, 5.86, 2434.00, 22.17, 5.15, 0.51, 4782.65, 53.57, 10.10
jetty.project, 329.49, 755.00, 134.00, 193.00, 25.54, 37.12, 12.80, 7.56
triava, 5.92, 8.73, 2.09, 4.65, 0.85, 15.74, 7.93, 5.47
jol, 7.20, 15.10, 3.28, 4.62, 0.52, 37.92, 15.19, 8.88
javaee8-essentials, 0.02, 5.59, 1.24, 1.19, <0.01, 678.00, 243.00, 119.00
hope-cloud, 0.14, 205.00, 6.35, 8.77, 0.01, 21377.00, 1512.00, 877.00
java-speech-api, 1.37, 10.59, 3.10, 4.03, 0.24, 60.92, 29.71, 16.79
jmh, 249.88, 59.47, 16.42, 7.96, 2.41, 27.98, 10.12, 3.30
javaee-javascript, 0.35, 53.33, 1.76, 3.41, 0.05, 1134.80, 103.40, 68.20
paho.mqtt.java, 28.44, 4080.00, 140.00, 13.84, 2.96, 1383.05, 51.97, 4.68
bitfinex-v2, 6.41, 72.00, 2.48, 4.68, 0.79, 97.06, 9.06, 5.92
aem-component, 1.65, 242.00, 7.94, 4.52, 0.28, 880.43, 44.50, 16.14
superword, 9.08, 361.00, 22.38, 6.29, 1.57, 233.94, 18.26, 4.01
reddit-bot, 1.50, 17.26, 3.40, 4.02, 0.17, 125.18, 43.65, 23.65
asmsupport, 26.71, 24.94, 5.36, 4.54, 1.13, 26.09, 8.76, 4.02
Benchmark, 146.26, 118.00, 13.37, 21.03, 24.46, 5.68, 1.41, 0.86
wro4j, 33.41, 751.00, 61.00, 6.20, 1.90, 398.53, 35.37, 3.26
spring-mvc, 2.00, 82.00, 4.84, 4.43, 0.28, 308.68, 33.11, 15.82
spring-context, 3.06, 26.36, 2.06, 3.96, 0.34, 89.18, 17.71, 11.65
nacos-spring-project, 7.40, 239.00, 7.00, 3.61, 0.05, 4852.20, 212.20, 72.20
spring-boot-graalvm, 0.05, 119.00, 2.98, 3.56, 0.01, 12256.00, 654.00, 356.00
cms-admin-end, 8.23, 89.00, 4.80, 6.09, 1.24, 76.69, 8.78, 4.91
spring4.x-project, 0.58, 197.00, 1.92, 22.86, 0.09, 2442.89, 275.33, 254.00
Average,46.89,469.72,25.92,14.9,1.89,5406.21,222.7,76.87
