,,,,Is our FP?,Is SP's FN?
biojava,SA_SELF_COMPUTATION,/home/codegex/Documents/workspace/rbugs/experiment/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/domain/pdp/Cut.java,73,N,Y
biojava,DMI_RANDOM_USED_ONLY_ONCE,/home/codegex/Documents/workspace/rbugs/experiment/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/symmetry/internal/CESymmParameters.java,134,N,Y
biojava,VA_FORMAT_STRING_USES_NEWLINE,/home/codegex/Documents/workspace/rbugs/experiment/top100repos/biojava/biojava-structure/src/main/java/demo/DemoAsa.java,102,N,Y
biojava,UI_INHERITANCE_UNSAFE_GETRESOURCE,/home/codegex/Documents/workspace/rbugs/experiment/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/chem/ReducedChemCompProvider.java,32,N,Y
jetty.project,EQ_COMPARING_CLASS_NAMES,/home/codegex/Documents/workspace/rbugs/experiment/top100repos/jetty.project/jetty-webapp/src/main/java/org/eclipse/jetty/webapp/Configurations.java,468,N,Y
jetty.project,DMI_RANDOM_USED_ONLY_ONCE,/home/codegex/Documents/workspace/rbugs/experiment/top100repos/jetty.project/jetty-keystore/src/main/java/org/eclipse/jetty/keystore/KeystoreGenerator.java,59,N,Y
jmh,VA_FORMAT_STRING_USES_NEWLINE,/home/codegex/Documents/workspace/rbugs/experiment/top100repos/jmh/jmh-core/src/main/java/org/openjdk/jmh/profile/ProfilerFactory.java,134,N,Y
jmh,VA_FORMAT_STRING_USES_NEWLINE,/home/codegex/Documents/workspace/rbugs/experiment/top100repos/jmh/jmh-core/src/main/java/org/openjdk/jmh/profile/ProfilerFactory.java,136,N,Y
jmh,VA_FORMAT_STRING_USES_NEWLINE,/home/codegex/Documents/workspace/rbugs/experiment/top100repos/jmh/jmh-core/src/main/java/org/openjdk/jmh/profile/ProfilerFactory.java,145,N,Y
jmh,VA_FORMAT_STRING_USES_NEWLINE,/home/codegex/Documents/workspace/rbugs/experiment/top100repos/jmh/jmh-core/src/main/java/org/openjdk/jmh/profile/ProfilerFactory.java,147,N,Y
jmh,VA_FORMAT_STRING_USES_NEWLINE,/home/codegex/Documents/workspace/rbugs/experiment/top100repos/jmh/jmh-core/src/main/java/org/openjdk/jmh/results/Result.java,275,N,Y
