author,title,url,year,citations,citations list
GabrieleBavota,Knowledge transfer in modern code review,http://scholar.google.com/https://dl.acm.org/doi/abs/10.1145/3387904.3389270,2020,3,"http://scholar.google.com/scholar?cites=9247462888383889249&as_sdt=2005&sciodt=0,5&hl=en"
GabrieleBavota,Four eyes are better than two: On the impact of code reviews on software quality,http://scholar.google.com/https://ieeexplore.ieee.org/abstract/document/7332454/,2015,54,"http://scholar.google.com/scholar?cites=15660781206396291922&as_sdt=2005&sciodt=0,5&hl=en"
DenysPoshyvanyk,Discovering flaws in security-focused static analysis tools for android using systematic mutation,http://scholar.google.com/https://www.usenix.org/conference/usenixsecurity18/presentation/bonett,2018,18,"http://scholar.google.com/scholar?cites=6863121297628575389&as_sdt=2005&sciodt=0,5&hl=en"
ChristianKaestner,Analyze this! sound static analysis for integration verification of large-scale automotive software,http://scholar.google.com/https://www.sae.org/publications/technical-papers/content/2019-01-1246/,2019,4,"http://scholar.google.com/scholar?cites=11297355723662262740&as_sdt=2005&sciodt=0,5&hl=en"
WilliamG.J.Halfond,Combining static analysis and runtime monitoring to counter SQL-injection attacks,http://scholar.google.com/https://dl.acm.org/doi/abs/10.1145/1083246.1083250,2005,189,"http://scholar.google.com/scholar?cites=12928472066255951973&as_sdt=2005&sciodt=0,5&hl=en"
FabioPalomba,Context is king: The developer perspective on the usage of static analysis tools,http://scholar.google.com/https://ieeexplore.ieee.org/abstract/document/8330195/,2018,51,"http://scholar.google.com/scholar?cites=14046530394659259752&as_sdt=2005&sciodt=0,5&hl=en"
FabioPalomba,Information needs in contemporary code review,http://scholar.google.com/https://dl.acm.org/doi/abs/10.1145/3274404,2018,31,"http://scholar.google.com/scholar?cites=6382098102333483469&as_sdt=2005&sciodt=0,5&hl=en"
FabioPalomba,How developers engage with static analysis tools in different contexts,http://scholar.google.com/https://link.springer.com/article/10.1007/s10664-019-09750-5,2020,21,"http://scholar.google.com/scholar?cites=10394902106589670074&as_sdt=2005&sciodt=0,5&hl=en"
FabioPalomba,Test-driven code review: an empirical study,http://scholar.google.com/https://ieeexplore.ieee.org/abstract/document/8811911/,2019,12,"http://scholar.google.com/scholar?cites=14313838889540173235&as_sdt=2005&sciodt=0,5&hl=en"
FabioPalomba,On the effect of code review on code smells,http://scholar.google.com/https://arxiv.org/abs/1912.10098,2019,5,"http://scholar.google.com/scholar?cites=828936522634689393&as_sdt=2005&sciodt=0,5&hl=en"
