Project,Total Files,Total Java Files,Max Line Changed in Java Files,Min Line Changed in Java Files
Man1502/testDemo,5,4,96,12
Realovka/Project-by-servlets-It-Academy,30,25,70,2
openrewrite/rewrite-testing-frameworks,2,1,179,179
Konopopl/smart-home-2021,30,29,115,0
natalia171/praca_inz,30,27,152,4
YHDiamond/GeyserUpdater,19,13,1026,2
YulDmi/my-web-project,11,5,43,13
PixelExperience/frameworks_base,3,3,5,2
ctt-gob-es/clienteafirma,1,1,2,2
OpenRefine/OpenRefine,10,10,13,2
OpenRefine/OpenRefine,2,2,43,9
NickN18/software-product-sprint,3,2,3,1
xStriller/JavaLevel2,1,1,2,2
vladmihalcea/hibernate-types,8,8,20,2
Orxan-star/StringTask,1,1,1,1
hashgraph/hedera-mirror-node,30,29,207,2
hashgraph/hedera-services,30,29,279,1
hashgraph/hedera-sdk-java,1,1,12,12
esmiroco/TP2-Algoritmos3,30,20,151,1
094698200/NanoHomework,11,11,166,4
CMPUT301W21T07/appalanche,7,5,69,8
CMPUT301W21T07/appalanche,1,1,17,17
WrenchDressing/UltimateGoal,16,12,1590,3
murcoder14/gitdemo,1,1,7,7
LeoNerdoG/kapua,3,3,308,114
LeoNerdoG/kapua,10,10,118,31
ElenaGromova/GromovaGeekBrains,30,11,68,7
atp-mipt/ljv,4,3,80,14
atp-mipt/jsyntrax,30,26,439,2
J-Despo/MeLi-BootCamp,6,3,84,7
SvitlanaBilous87/Homework,3,3,142,60
Kis-python-course/trpp-team-project-multichicken,13,2,23,4
rumburake/AutoVolume,20,13,60,2
vershininvv/CloudStorage,7,2,82,30
vershininvv/CloudStorage,4,2,218,133
LOOHP/Limbo,3,3,44,14
aNNiMON/Lightweight-Stream-API,13,13,448,41
all-of-us/workbench,2,2,48,9
all-of-us/workbench,1,1,25,25
all-of-us/workbench,9,9,105,3
vespa-engine/vespa,4,4,130,3
vespa-engine/vespa,9,8,321,4
vespa-engine/vespa,20,19,94,1
vespa-engine/vespa,2,2,3,2
vespa-engine/vespa,2,1,6,6
NovatecConsulting/micronaut-camunda-bpm,8,5,36,18
NovatecConsulting/micronaut-camunda-bpm,29,10,118,42
Vazkii/Quark,2,1,25,25
Vazkii/Psi,2,2,2,2
MrTw1ster/SpringCourse,30,14,53,7
MrTw1ster/SpringCourse,30,17,81,7
folio-org/mod-circulation,2,2,44,43
folio-org/mod-pubsub,5,3,90,11
folio-org/mod-copycat,6,2,29,7
folio-org/mod-inventory,8,7,52,10
folio-org/mod-inventory-storage,6,6,276,4
folio-org/okapi,13,8,63,2
Sollace/Presence-Footsteps,3,2,141,3
KarolinaXin/BibbidiBobbidiFit,9,6,125,4
togglz/togglz,1,1,1,1
dockstore/dockstore,3,2,39,3
dockstore/dockstore,8,5,68,4
dockstore/dockstore,7,5,89,2
dockstore/dockstore,9,6,46,2
gocd/gocd-vault-secret-plugin,2,1,3,3
Filosoff42/JavaHW17-MovieAfisha,8,7,68,42
GitHubNJUPT528/ctontcm,30,27,275,2
GitHubNJUPT528/ctontcm,30,17,570,10
OpenAPITools/openapi-style-validator,11,8,31,1
OpenAPITools/openapi-generator,3,1,2,2
OpenAPITools/openapi-generator,3,3,13,5
OpenAPITools/openapi-generator,30,2,8,2
OpenAPITools/openapi-generator,30,24,204,1
OpenAPITools/openapi-generator,10,3,4,1
OpenAPITools/openapi-generator,30,16,42,2
skushal094/Android-Fitts-Law,1,1,34,34
su-fan/mica,8,3,116,7
RedHatInsights/notifications-backend,30,29,652,2
RedHatInsights/notifications-backend,29,26,183,2
RedHatInsights/rhsm-subscriptions,7,7,199,4
annasemenova91/Algorithms,7,7,133,18
Discord4J/Discord4J,6,6,21,5
code4tomorrow/java,13,12,169,19
Sineokaya/JavaCore,16,15,124,6
Bloodevil/cote,13,13,90,25
raphydaphy/breakoutapi,19,14,228,2
RiiConnect24-Bot/RC24-Bot,30,27,122,2
steroid-team/app,2,2,55,33
pgerlich/TabSaverAndroid,1,1,2,2
GhatnekarPreeti/testDemo,5,4,116,12
Ecdar/Ecdar-GUI,6,4,166,28
sectorsj/StringBootApp-github,11,7,48,8
Dimankom/java1,1,1,130,130
Marc-JB/DevOps,27,19,77,13
hiroki1994/snitch,19,12,152,2
hiroki1994/snitch,7,3,45,16
