Project,# Evaluated PR,Max Total Files,Min Total Files,Max Total Java Files,Min Total Java Files,Max Line Changed in Java Files,Min Line Changed in Java Files
Man1502/testDemo,1,5,5,4,4,96,12
Realovka/Project-by-servlets-It-Academy,1,30,30,25,25,70,2
openrewrite/rewrite-testing-frameworks,1,2,2,1,1,179,179
Konopopl/smart-home-2021,1,30,30,29,29,115,0
natalia171/praca_inz,1,30,30,27,27,152,4
YHDiamond/GeyserUpdater,1,19,19,13,13,1026,2
YulDmi/my-web-project,1,11,11,5,5,43,13
PixelExperience/frameworks_base,1,3,3,3,3,5,2
ctt-gob-es/clienteafirma,1,1,1,1,1,2,2
OpenRefine/OpenRefine,2,2,10,2,10,43,2
NickN18/software-product-sprint,1,3,3,2,2,3,1
xStriller/JavaLevel2,1,1,1,1,1,2,2
vladmihalcea/hibernate-types,1,8,8,8,8,20,2
Orxan-star/StringTask,1,1,1,1,1,1,1
hashgraph/hedera-mirror-node,1,30,30,29,29,207,2
hashgraph/hedera-services,1,30,30,29,29,279,1
hashgraph/hedera-sdk-java,1,1,1,1,1,12,12
esmiroco/TP2-Algoritmos3,1,30,30,20,20,151,1
094698200/NanoHomework,1,11,11,11,11,166,4
CMPUT301W21T07/appalanche,2,7,1,5,1,69,17
WrenchDressing/UltimateGoal,1,16,16,12,12,1590,3
murcoder14/gitdemo,1,1,1,1,1,7,7
LeoNerdoG/kapua,2,3,10,3,10,308,114
ElenaGromova/GromovaGeekBrains,1,30,30,11,11,68,7
atp-mipt/ljv,1,4,4,3,3,80,14
atp-mipt/jsyntrax,1,30,30,26,26,439,2
J-Despo/MeLi-BootCamp,1,6,6,3,3,84,7
SvitlanaBilous87/Homework,1,3,3,3,3,142,60
Kis-python-course/trpp-team-project-multichicken,1,13,13,2,2,23,4
rumburake/AutoVolume,1,20,20,13,13,60,2
vershininvv/CloudStorage,2,7,4,2,2,82,133
LOOHP/Limbo,1,3,3,3,3,44,14
aNNiMON/Lightweight-Stream-API,1,13,13,13,13,448,41
all-of-us/workbench,3,9,1,9,1,48,25
vespa-engine/vespa,5,9,2,8,1,94,1
NovatecConsulting/micronaut-camunda-bpm,2,8,29,5,10,36,18
Vazkii/Quark,1,2,2,1,1,25,25
Vazkii/Psi,1,2,2,2,2,2,2
MrTw1ster/SpringCourse,2,30,30,17,14,81,7
folio-org/mod-circulation,1,2,2,2,2,44,43
folio-org/mod-pubsub,1,5,5,3,3,90,11
folio-org/mod-copycat,1,6,6,2,2,29,7
folio-org/mod-inventory,1,8,8,7,7,52,10
folio-org/mod-inventory-storage,1,6,6,6,6,276,4
folio-org/okapi,1,13,13,8,8,63,2
Sollace/Presence-Footsteps,1,3,3,2,2,141,3
KarolinaXin/BibbidiBobbidiFit,1,9,9,6,6,125,4
togglz/togglz,1,1,1,1,1,1,1
dockstore/dockstore,4,9,3,6,2,89,2
gocd/gocd-vault-secret-plugin,1,2,2,1,1,3,3
Filosoff42/JavaHW17-MovieAfisha,1,8,8,7,7,68,42
GitHubNJUPT528/ctontcm,2,30,30,27,17,570,10
OpenAPITools/openapi-style-validator,1,11,11,8,8,31,1
OpenAPITools/openapi-generator,6,30,10,3,1,8,1
skushal094/Android-Fitts-Law,1,1,1,1,1,34,34
su-fan/mica,1,8,8,3,3,116,7
RedHatInsights/notifications-backend,2,30,29,29,26,652,2
RedHatInsights/rhsm-subscriptions,1,7,7,7,7,199,4
annasemenova91/Algorithms,1,7,7,7,7,133,18
Discord4J/Discord4J,1,6,6,6,6,21,5
code4tomorrow/java,1,13,13,12,12,169,19
Sineokaya/JavaCore,1,16,16,15,15,124,6
Bloodevil/cote,1,13,13,13,13,90,25
raphydaphy/breakoutapi,1,19,19,14,14,228,2
RiiConnect24-Bot/RC24-Bot,1,30,30,27,27,122,2
steroid-team/app,1,2,2,2,2,55,33
pgerlich/TabSaverAndroid,1,1,1,1,1,2,2
GhatnekarPreeti/testDemo,1,5,5,4,4,116,12
Ecdar/Ecdar-GUI,1,6,6,4,4,166,28
sectorsj/StringBootApp-github,1,11,11,7,7,48,8
Dimankom/java1,1,1,1,1,1,130,130
Marc-JB/DevOps,1,27,27,19,19,77,13
hiroki1994/snitch,3,7,1,3,1,45,16
AdrenalinV/Chat_Server_Cliebt-GUI-,1,11,11,6,6,49,5
fabiandzp/ApiFwkChallenge,1,5,5,5,5,74,5
VitGames/tms2021Android,1,5,5,3,3,72,4
RelinDmitrii/NotesAppDB,1,15,15,12,12,62,1
ArneBab/plugin-WoT-staging,1,5,5,5,5,64,15
UlyaVoropaeva/homework_2021,4,5,1,5,1,77,107
embulk/guice-bootstrap,2,3,2,3,1,79,18
embulk/embulk-input-s3,1,4,4,4,4,19,11
neo4j/neo4j-java-driver,2,4,10,2,10,70,2
Yerke16/NurbazarovaYerkezhan,1,5,5,5,5,57,11
torserver/PhotoLocos,2,8,11,8,2,90,10
Superzock3003/PowerNukkit,1,30,30,26,26,567,2
RPTools/maptool,1,3,3,3,3,124,5
FunnelbackPtyLtd/ftldoc,1,9,9,3,3,598,29
Warzone/TGM,1,1,1,1,1,49,49
akoikelov/fast-credit,1,2,2,2,2,33,10
bullhorn/starter-kit-spring-maven,2,25,1,25,1,14,14
horseshoe/horseshoe,1,6,6,3,3,82,35
mouna07/EmployeePayRollService,1,28,28,6,6,48,13
CuukyOfficial/VaroPlugin,1,30,30,19,19,0,0
icatproject/ids.server,1,13,13,9,9,145,2
